"","date","lineage","pred","obs"
"150",2020-01-09,"Om:BQ.1",0,NA
"151",2020-01-09,"Om:BQ.1.1",0,NA
"152",2020-01-09,"Om:XBB",1.43036664013642e-30,NA
"153",2020-01-09,"Other",1,NA
"154",2020-01-10,"Alpha",1.8916592428506e-20,NA
"155",2020-01-10,"Beta",1.99592032137514e-24,NA
"156",2020-01-10,"Delta",2.34816059902608e-42,NA
"157",2020-01-10,"Om:BA.1",6.34585814701558e-179,NA
"158",2020-01-10,"Om:BA.2",2.28003613889345e-153,NA
"159",2020-01-10,"Om:BA.2.12.1",1.57928534480052e-276,NA
"160",2020-01-10,"Om:BA.2.75",0,NA
"161",2020-01-10,"Om:BA.2.75.2",1.51647253217174e-106,NA
"162",2020-01-10,"Om:BA.4",0,NA
"163",2020-01-10,"Om:BA.4.6",0,NA
"164",2020-01-10,"Om:BA.5",0,NA
"165",2020-01-10,"Om:BF.7",0,NA
"166",2020-01-10,"Om:BN.1",1.60179076561188e-70,NA
"167",2020-01-10,"Om:BQ.1",0,NA
"168",2020-01-10,"Om:BQ.1.1",0,NA
"169",2020-01-10,"Om:XBB",1.57749635101094e-30,NA
"170",2020-01-10,"Other",1,NA
"171",2020-01-11,"Alpha",2.15766722606618e-20,NA
"172",2020-01-11,"Beta",2.31857367562272e-24,NA
"173",2020-01-11,"Delta",2.95264416538488e-42,NA
"174",2020-01-11,"Om:BA.1",1.41185347663816e-178,NA
"175",2020-01-11,"Om:BA.2",4.34076478641899e-153,NA
"176",2020-01-11,"Om:BA.2.12.1",4.88329781004445e-276,NA
"177",2020-01-11,"Om:BA.2.75",0,NA
"178",2020-01-11,"Om:BA.2.75.2",2.28244948747598e-106,NA
"179",2020-01-11,"Om:BA.4",0,NA
"180",2020-01-11,"Om:BA.4.6",0,NA
"181",2020-01-11,"Om:BA.5",0,NA
"182",2020-01-11,"Om:BF.7",0,NA
"183",2020-01-11,"Om:BN.1",2.07956222817855e-70,NA
"184",2020-01-11,"Om:BQ.1",0,NA
"185",2020-01-11,"Om:BQ.1.1",0,NA
"186",2020-01-11,"Om:XBB",1.73976005006347e-30,NA
